last_name, first_name,player_id,year,xba,xslg,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,avg_best_speed,avg_hyper_speed,z_swing_miss_percent,oz_swing_miss_percent,oz_contact_percent,hp_to_1b,sprint_speed,
Adames, Willy,642715,2022,.238,.451,.323,.299,.213,88.9,18.9,36.4,13,6.5,100.099002736,6.300793591,20.1,46,54,4.41,27.8,
Estrada, Thairo,642731,2022,.246,.352,.299,.312,.107,86.2,8.1,31.6,4.4,4.7,97.092146345,4.54814231,11.7,35.5,62.7,4.3,28.3,
Benintendi, Andrew,643217,2022,.273,.407,.334,.347,.134,89.2,12.6,39.2,5.1,6.2,98.21078057,5.391636347,18.1,29.2,70.8,4.38,27.5,
Kemp, Tony,643393,2022,.219,.291,.267,.294,.072,84.4,15,33.9,1.6,4.1,93.050155144,2.545713639,9.1,22.3,76.3,4.46,26.2,
Kiner-Falefa, Isiah,643396,2022,.262,.333,.290,.317,.071,86.2,4.3,29.6,1.2,4.3,96.614692718,4.355143236,5.9,21.6,78.4,4.27,28.4,
McNeil, Jeff,643446,2022,.280,.389,.323,.341,.109,86.9,12.8,39,2.7,5.2,96.275278692,4.172015654,12.2,26,73,4.16,27.4,
Devers, Rafael,646240,2022,.282,.497,.361,.348,.215,93.1,11.3,33.1,11.5,7.7,103.784239231,8.704402472,22,39,60.7,4.57,25.5,
Arraez, Luis,650333,2022,.288,.408,.333,.350,.121,88.9,12.9,38.7,3.6,5.7,96.195004348,4.276757036,5.7,10.3,89.7,4.49,26.8,
Torres, Gleyber,650402,2022,.244,.441,.319,.298,.198,90.4,17.5,36.2,10.7,8.5,100.5348042,6.660057845,22,40.2,59.8,4.51,26.9,
Diaz, Yandy,650490,2022,.288,.424,.365,.395,.137,92.2,7.7,30.7,4.8,8.9,103.107838195,8.208559878,9.6,29,71,4.53,27.1,
Rengifo, Luis,650859,2022,.254,.392,.296,.285,.138,86.9,9.9,31.1,5.4,4.9,98.09743639,5.096324743,14.1,37.5,62.5,4.31,27.9,
Chapman, Matt,656305,2022,.234,.440,.341,.331,.206,92.2,19,34,12.9,8.8,102.906606237,8.223630699,24,44.7,55.3,4.44,28.4,
Hoskins, Rhys,656555,2022,.239,.445,.338,.327,.207,90.1,18.1,37.3,11.1,5.9,100.842284953,6.804616643,17.3,47.6,52.4,4.73,25.9,
Mullins II, Cedric,656775,2022,.232,.349,.288,.297,.117,88.8,17.4,29.3,4.9,5.9,98.895231356,5.569582691,16.7,36.5,63,4.16,28.5,
